dataset,EmbedOR < UMAP,EmbedOR < t-SNE
cifar10,SIGNIFICANT,SIGNIFICANT
klein,SIGNIFICANT,SIGNIFICANT
camp,SIGNIFICANT,SIGNIFICANT
wikipedia,SIGNIFICANT,SIGNIFICANT
tsai,SIGNIFICANT,SIGNIFICANT
kanton,SIGNIFICANT,NOT SIGNIFICANT
wagner,SIGNIFICANT,NOT SIGNIFICANT
petropoulos,SIGNIFICANT,NOT SIGNIFICANT
zeisel,SIGNIFICANT,NOT SIGNIFICANT
kang,SIGNIFICANT,NOT SIGNIFICANT
romanov,SIGNIFICANT,NOT SIGNIFICANT
baron,SIGNIFICANT,NOT SIGNIFICANT
paul,NOT SIGNIFICANT,NOT SIGNIFICANT
gardner ,NOT SIGNIFICANT,NOT SIGNIFICANT
,,
,,
,,
6,,
