EmbedOR (ORC),trial 1,trial 2,trial 3,% time taken (avg)
build_nnG,0.1859190464,0.1518518925,0.1806485653,1.13%
compute_curvatures,8.979068756,10.2161231,7.449635983,58.25%
compute_distances,0.6789443493,0.9604132175,0.4900026321,4.65%
compute_affinities,0.5524175167,0.5535378456,0.5376343727,3.59%
update_G,0.03036308289,0.02368736267,0.02484631538,0.17%
init_embedding,0.3107280731,0.3050444126,0.2033212185,1.79%
layout,4.641279221,4.93571806,4.334245443,30.41%
total,15.37872005,17.14637589,13.22033453,100.00%
,,,,
EmbedOR (Euclidean),trial 1,trial 2,trial 3,% time taken (avg)
build_nnG,0.2662696838,0.2557420731,0.2472512722,3.60%
compute_curvatures,0.1114931107,0.09739494324,0.0959854126,1.43%
compute_distances,0.5828135014,0.4673445225,0.3929831982,6.75%
compute_affinities,0.5032539368,0.6051142216,0.4965662956,7.50%
update_G,0.019739151,0.02379322052,0.01893162727,0.29%
init_embedding,0.1168811321,0.04936432838,0.05209231377,1.02%
layout,4.525188684,5.777011633,6.682275772,79.41%
total,6.1256392,7.275764942,7.986085892,100.00%

